doc_id,TFIDF_scores,key
39,0.005209151,managers
1595,0.005541132,systems
1283,0.008630329,analysis
1050,0.010086034,networks
1092,0.011671486,automation
497,0.012374928,customers
1135,0.016025192,ecosystem
92,0.016778896,react
300,0.020778633,designed
1355,0.023173688,operations
289,0.026727208,data
1091,0.028537335,strategies
1414,0.03015754,decisions
905,0.030254548,risks
920,0.034672848,deployment
1316,0.034909309,developed
899,0.038217843,system
32,0.03920096,analytics
1185,0.03984959,algorithms
1098,0.040655363,services
1808,0.054085425,development
715,0.054363815,platform
489,0.057127886,machines
1209,0.060787449,digital
1483,0.062475339,fintech
29,0.062603176,partnership
989,0.077136057,environment
492,0.079099521,solutions
105,0.079387011,managing
942,0.079750537,advisors
1114,0.08345735,apis
284,0.096961295,insights
1143,0.160280112,payments
71,0.16988834,information
278,0.182219739,blockchain
1780,0.194084071,agility
1687,0.196053402,mentorship
1029,0.207213316,adviser
5,0.279203518,strategy
1758,0.37856356,protection
1763,0.397843544,roboadvice
1510,0.466048738,architecture
240,0.471406459,manufacturing
524,0.471406459,mutual
1435,0.473246203,person
290,0.485570038,network
725,0.488887469,drivers
634,0.488953416,oversight
744,0.488953416,unlocked
218,0.495375593,bankregulators
274,0.512683387,methodologies
279,0.512683387,community
684,0.514059973,insurer
338,0.526193249,governance
136,0.538463929,cyberinsecurity
439,0.53900519,research
493,0.53900519,rewards
741,0.544381963,problem
1342,0.545055146,anonymity
654,0.549945078,lifestyles
1716,0.550375098,factor
52,0.558797523,fraud
526,0.558797523,allowed
724,0.558797523,registry
436,0.559258485,arranger
1551,0.579884231,administration
1515,0.592905709,software
1461,0.631698544,connectivity
447,0.660877699,hack
533,0.660877699,hosts
242,0.718763976,program
450,0.725294399,blacksmiths
644,0.725294399,journal
145,0.746366502,investors
1331,0.7538495,statistics
750,0.760165076,applications
1219,0.814551819,portfolios
1813,0.814551819,company
1827,0.814551819,finance
1836,0.814551819,observer
359,0.820901559,stats
542,0.820901559,intelligence
737,0.906617998,integrations
551,0.929624648,blockchaininfo
659,0.929624648,.net
254,0.932958127,analysis
539,0.932958127,etl
740,0.932958127,sql
651,0.942311875,java
1826,0.953181255,computer
151,0.956230733,
362,0.956230733,
458,0.956230733,
160,0.96608896,
728,0.96608896,
161,0.977906831,
243,0.977906831,
257,0.977906831,
661,0.988906684,
303,1.025366773,
148,1.026126949,
650,1.026126949,
163,1.028119945,
729,1.047181981,
360,1.076927857,
456,1.076927857,
531,1.076927857,
732,1.076927857,
747,1.076927857,
346,1.079904794,
541,1.079904794,
544,1.079904794,
51,1.090110292,
1278,1.106329098,
65,1.11851697,
281,1.11851697,
376,1.11851697,
471,1.11851697,
579,1.11851697,
154,1.12349314,
261,1.12349314,
548,1.12349314,
749,1.12349314,
537,1.135690681,
1659,1.140891303,
1172,1.148514005,
268,1.149347106,
157,1.16203081,
954,1.17104777,
1001,1.17104777,
1040,1.17104777,
1085,1.17104777,
1171,1.17104777,
1217,1.17104777,
1260,1.17104777,
166,1.176320414,
560,1.176320414,
139,1.185811417,
1416,1.191476569,
1601,1.191476569,
267,1.2076112,
554,1.2076112,
50,1.256415833,
363,1.256415833,
162,1.263397087,
443,1.263397087,
454,1.263397087,
167,1.285149932,
270,1.285149932,
557,1.285149932,
576,1.298426288,
555,1.309192362,
146,1.335317606,
1783,1.347329146,
165,1.359106717,
566,1.364763364,
361,1.368169265,
186,1.369069564,
643,1.369069564,
726,1.369069564,
563,1.398146213,
569,1.436683883,
445,1.471687575,
530,1.559827196,
273,1.568427218,
1410,1.588635426,
364,1.657848547,
48,1.711336955,
567,1.711336955,
521,1.86419495,
647,1.865916255,
54,1.976352362,
370,1.97748803,
1406,2.104772996,
668,2.14662757,
131,2.159809587,
263,2.159809587,
434,2.159809587,
720,2.159809587,
140,2.281782606,
337,2.281782606,
1554,2.324061621,
57,2.512831666,
152,2.512831666,
462,2.512831666,
128,2.526794175,
247,2.526794175,
260,2.526794175,
742,2.570299863,
343,2.617954953,
641,2.617954953,
723,2.670635211,
253,2.729526729,
522,2.729526729,
556,2.729526729,
559,2.729526729,
562,2.729526729,
745,2.729526729,
547,2.796292425,
658,2.964528543,
269,3.076100319,
355,3.076100319,
367,3.076100319,
1280,3.076100319,
241,3.219941355,
646,3.219941355,
156,3.422673909,
340,3.422673909,
349,3.422673909,
534,3.422673909,
628,3.422673909,
630,3.422673909,
648,3.422673909,
440,3.587251281,
437,3.800825381,
464,3.800825381,
258,3.824922933,
1661,4.705281655,
168,6.845347819,
